,ACTION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,CLEARED,INDICATION_OF_COLLATERALIZATION,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1,z_PRICE_NOTATION,PRICE_NOTATION_BIN,z_ROUNDED_NOTIONAL_AMOUNT_1,ROUNDED_NOTIONAL_AMOUNT_1_BIN
178020,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.620625,110000000.0,0.223001218264692,"(-0.0721, 0.721]",0.8918521064831512,"(107800002.55, 110000002.5]"
178026,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.620625,25000000.0,0.223001218264692,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
178044,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.52,100000000.0,0.22752918758528218,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178046,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.6199020000000001,5000000.0,0.22303375214612098,"(-0.0721, 0.721]",0.9779094971237934,"(4400004.9, 6600004.85]"
178176,NEW,Credit:Index:CDX:CDXHY,Trade,C,UC,5.0,20000000.0,0.02593611870335625,"(4.328, 5.049]",0.7108006966085155,"(19800004.55, 22000004.5]"
178182,NEW,Credit:Index:CDX:CDXIG,Trade,U,PC,0.628202,25000000.0,0.22266026498725489,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
178197,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,PC,0.628202,25000000.0,0.22266026498725489,"(-0.0721, 0.721]",0.6217644297700896,"(24200004.45, 26400004.4]"
178207,NEW,Credit:Index:CDX:CDXIG,Trade,C,FC,0.515,100000000.0,0.22775417984965932,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178254,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.6296,50000000.0,0.22259735715013504,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
178256,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.628,100000000.0,0.22266935467473573,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178260,CANCEL,Credit:Index:CDX:CDXIG,Trade,U,FC,0.6296,50000000.0,0.22259735715013504,"(-0.0721, 0.721]",0.17658309557795995,"(48400003.9, 50600003.85]"
178284,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,6000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.9601022437561082,"(4400004.9, 6600004.85]"
178285,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,12000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.853258723549997,"(11000004.75, 13200004.7]"
178319,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,18000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.7464152033438859,"(17600004.6, 19800004.55]"
178320,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,9000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.9066804836530525,"(8800004.8, 11000004.75]"
178321,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,9000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.9066804836530525,"(8800004.8, 11000004.75]"
178346,NEW,Credit:Index:CDX:CDXIG,Partialtermination,U,PC,0.0,6000000.0,0.2509283830805057,"(-0.0721, 0.721]",0.9601022437561082,"(4400004.9, 6600004.85]"
178447,CANCEL,Credit:Index:CDX:CDXHY,Trade,U,UC,3.75,35000000.0,0.08218418479764361,"(3.606, 4.328]",0.4436918960932377,"(33000004.25, 35200004.2]"
178451,CANCEL,Credit:Index:CDX:CDXHY,Trade,U,UC,3.75,39000000.0,0.08218418479764361,"(3.606, 4.328]",0.372462882622497,"(37400004.15, 39600004.1]"
178452,CORRECT,Credit:Index:CDX:CDXHY,Trade,U,PC,3.75,39000000.0,0.08218418479764361,"(3.606, 4.328]",0.372462882622497,"(37400004.15, 39600004.1]"
178453,CANCEL,Credit:Index:CDX:CDXHY,Trade,U,UC,3.75,53000000.0,0.08218418479764361,"(3.606, 4.328]",0.12316133547490439,"(52800003.8, 55000003.75]"
178454,CORRECT,Credit:Index:CDX:CDXHY,Trade,U,PC,3.75,53000000.0,0.08218418479764361,"(3.606, 4.328]",0.12316133547490439,"(52800003.8, 55000003.75]"
178505,CANCEL,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,100000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178566,NEW,Credit:Index:CDX:CDXIG,Trade,U,FC,0.54375,540000.0,0.22646047432949068,"(-0.0721, 0.721]",1.0573298471436692,"(-219994.995, 2200004.95]"
178588,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,100000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.7137795728062993,"(99000002.75, 101200002.7]"
178597,NEW,Credit:Index:CDX:CDXIG,Trade,C,PC,0.62,78000000.0,0.22302934229773916,"(-0.0721, 0.721]",0.32201999871722525,"(77000003.25, 79200003.2]"
